Saiu_da_Empresa;Idade;Frequência de Viagens;Distância_do_trabalho;Formação;E-Sat;Gênero;Estado_Civil;Salário;Qte_Empresas_Trabalhadas;Faz_hora_extras?;Perc_de_aumento;Qte_ações_da_empresa;Tempo_de_carreira;Horas_de_treinamento;Equilibrio_de_Vida;Tempo_de_empresa;Anos_no_mesmo_cargo;Anos_desde_a_ultima_promocao;Anos_com_o_mesmo_chefe
Sim;41;Viaja raramente;1;Ensino Técnico;Médio;M;Solteiro;5993;8;Sim;11;0;8;0;Ruim;6;4;0;5
Não;49;Viaja frequentemente;8;Ensino Médio;Alto;H;Casado;5130;1;Não;23;1;10;3;Muito bom;10;7;1;7
Sim;37;Viaja raramente;2;Ensino Técnico;Muito Alto;H;Solteiro;2090;6;Sim;15;0;7;3;Muito bom;0;0;0;0
Não;33;Viaja frequentemente;3;Mestrado;Muito Alto;M;Casado;2909;1;Sim;11;0;8;3;Muito bom;8;7;3;0
Não;27;Viaja raramente;2;Ensino Médio;Baixo;H;Casado;3468;9;Não;12;1;6;3;Muito bom;2;2;2;2
Não;32;Viaja frequentemente;2;Ensino Técnico;Muito Alto;H;Solteiro;3068;0;Não;13;0;8;2;Bom;7;7;3;6
Não;59;Viaja raramente;3;Ensino Superior;Alto;M;Casado;2670;4;Sim;20;3;12;3;Bom;1;0;0;0
Não;30;Viaja raramente;24;Ensino Médio;Muito Alto;H;Divorciado;2693;1;Não;22;1;1;2;Muito bom;1;0;0;0
Não;38;Viaja frequentemente;23;Ensino Superior;Muito Alto;H;Solteiro;9526;0;Não;21;0;10;2;Muito bom;9;7;1;8
Não;36;Viaja raramente;27;Ensino Superior;Alto;H;Casado;5237;6;Não;13;2;17;3;Bom;7;7;7;7
Não;35;Viaja raramente;16;Ensino Superior;Baixo;H;Casado;2426;0;Não;13;1;6;5;Muito bom;5;4;0;3
Não;29;Viaja raramente;15;Ensino Técnico;Muito Alto;M;Solteiro;4193;0;Sim;12;0;10;3;Muito bom;9;5;0;8
Não;31;Viaja raramente;26;Ensino Médio;Baixo;H;Divorciado;2911;1;Não;17;1;5;1;Bom;5;2;4;3
Não;34;Viaja raramente;19;Ensino Técnico;Médio;H;Divorciado;2661;0;Não;11;1;3;2;Muito bom;2;2;1;2
Sim;28;Viaja raramente;24;Ensino Superior;Alto;H;Solteiro;2028;5;Sim;14;0;6;4;Muito bom;4;2;0;3
Não;29;Viaja raramente;21;Mestrado;Médio;M;Divorciado;9980;1;Não;11;1;10;1;Muito bom;10;9;8;8
Não;32;Viaja raramente;5;Ensino Técnico;Baixo;H;Divorciado;3298;0;Sim;12;2;7;5;Bom;6;2;0;5
Não;22;Não viaja;16;Ensino Técnico;Muito Alto;H;Divorciado;2935;1;Sim;13;2;1;2;Bom;1;0;0;0
